epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,976.492,0.5445,0.85246,0.57238,0.98318,0.59263,0.57335,0.57305,0.4831,0.54368,0.52836,0.51184,0.4261,0.76754,2.10873,1.31876,1.0481,0.00092825,0.00092825,0.00092825
41,999.675,0.52559,0.82758,0.54213,0.97788,0.57514,0.62071,0.59081,0.50423,0.54559,0.59982,0.54341,0.45595,0.77073,1.91621,1.27576,1.06906,0.00092,0.00092,0.00092
42,1022.96,0.53209,0.83089,0.53799,0.97738,0.5894,0.5949,0.60491,0.51595,0.61573,0.51601,0.55729,0.45698,0.7695,2.21335,1.259,1.07933,0.00091175,0.00091175,0.00091175
43,1046.52,0.52878,0.8791,0.54003,0.97935,0.62872,0.60437,0.60265,0.52352,0.60355,0.57787,0.56512,0.46828,0.74154,2.29988,1.20263,1.0094,0.0009035,0.0009035,0.0009035
44,1069.97,0.52768,0.83176,0.54216,0.97719,0.58637,0.58164,0.57505,0.48359,0.56513,0.5446,0.52243,0.42812,0.84189,2.27281,1.29312,1.11404,0.00089525,0.00089525,0.00089525
45,1092.88,0.52143,0.83149,0.53827,0.97196,0.60544,0.58627,0.59622,0.50677,0.56973,0.56089,0.54014,0.45251,0.78455,2.11347,1.3465,1.09314,0.000887,0.000887,0.000887
46,1115.99,0.50892,0.84898,0.52954,0.97076,0.60703,0.58336,0.61267,0.52605,0.60156,0.54089,0.57123,0.47012,0.78795,2.13181,1.17189,1.09342,0.00087875,0.00087875,0.00087875
47,1138.86,0.5083,0.82427,0.51802,0.96309,0.59127,0.6348,0.59058,0.49298,0.54297,0.57371,0.51564,0.42603,0.86239,2.3226,1.3785,1.08595,0.0008705,0.0008705,0.0008705
48,1162.38,0.51262,0.85973,0.5351,0.97315,0.59706,0.60651,0.60725,0.50299,0.56595,0.57721,0.56074,0.46321,0.82861,2.1156,1.37521,1.10189,0.00086225,0.00086225,0.00086225
49,1185.62,0.51843,0.85095,0.52228,0.97876,0.59002,0.5953,0.57742,0.49644,0.56939,0.56058,0.5428,0.44514,0.81144,2.43939,1.34666,1.07757,0.000854,0.000854,0.000854
50,1209.47,0.50185,0.79432,0.49912,0.96021,0.61588,0.57806,0.60007,0.51342,0.58292,0.54493,0.54802,0.45489,0.75424,2.45185,1.22401,1.05222,0.00084575,0.00084575,0.00084575
51,1234.33,0.49441,0.77505,0.50195,0.95729,0.62064,0.57481,0.58178,0.48132,0.58352,0.53383,0.51019,0.41978,0.79137,2.41587,1.28752,1.07863,0.0008375,0.0008375,0.0008375
52,1259.51,0.50184,0.79232,0.50396,0.96165,0.65308,0.5623,0.62126,0.54535,0.63206,0.54291,0.58259,0.48944,0.73754,2.24551,1.0936,1.04489,0.00082925,0.00082925,0.00082925
53,1284.5,0.48762,0.77981,0.48482,0.95823,0.60769,0.60463,0.57946,0.51075,0.57924,0.57903,0.54326,0.4576,0.78088,2.54609,1.20457,1.05269,0.000821,0.000821,0.000821
54,1309.52,0.51095,0.80364,0.50502,0.9649,0.57301,0.59371,0.57532,0.49274,0.60248,0.51588,0.53539,0.4516,0.79166,2.12823,1.25661,1.07696,0.00081275,0.00081275,0.00081275
55,1334.29,0.49395,0.73751,0.4989,0.95209,0.59206,0.6274,0.58223,0.49727,0.55734,0.58847,0.53514,0.45074,0.82342,2.33081,1.36668,1.08631,0.0008045,0.0008045,0.0008045
56,1359.07,0.48827,0.7552,0.4936,0.95637,0.5775,0.57554,0.58988,0.50991,0.53824,0.53689,0.53789,0.44393,0.7816,2.34666,1.38327,1.04042,0.00079625,0.00079625,0.00079625
57,1384.52,0.48685,0.75039,0.49133,0.95623,0.59585,0.60992,0.57716,0.50511,0.55912,0.58611,0.53811,0.46038,0.70087,2.49398,1.19548,0.98694,0.000788,0.000788,0.000788
58,1409.42,0.48495,0.75746,0.4833,0.94787,0.56689,0.63723,0.58914,0.5071,0.53691,0.59546,0.52972,0.45018,0.7287,2.56719,1.26846,1.04716,0.00077975,0.00077975,0.00077975
59,1434.61,0.49176,0.78945,0.50083,0.95945,0.59339,0.58804,0.57884,0.49634,0.55765,0.54869,0.52352,0.43912,0.76092,2.15325,1.30948,1.04937,0.0007715,0.0007715,0.0007715
60,1459.29,0.47887,0.77661,0.47746,0.94917,0.56661,0.59725,0.57195,0.4958,0.53249,0.55744,0.51909,0.45264,0.80061,2.34926,1.35818,1.11555,0.00076325,0.00076325,0.00076325
