epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1045.5,0.54604,0.85946,0.59191,0.97159,0.85811,0.59981,0.57873,0.48213,0.8224,0.56776,0.51982,0.42311,0.76968,2.26909,1.2893,1.05705,0.00102725,0.00102725,0.00102725
56,1065.5,0.55094,0.87572,0.5839,0.97912,0.84074,0.58082,0.56545,0.47905,0.80188,0.54359,0.5122,0.42603,0.81186,2.31616,1.38042,1.09153,0.00102312,0.00102312,0.00102312
57,1086.08,0.5459,0.87735,0.59112,0.98347,0.84269,0.58038,0.5674,0.48245,0.82944,0.5419,0.53036,0.43067,0.79763,2.43784,1.38183,1.06693,0.001019,0.001019,0.001019
58,1105.76,0.55093,0.87019,0.58212,0.97909,0.856,0.58935,0.58851,0.50103,0.82373,0.55733,0.52717,0.42711,0.76281,2.32968,1.31567,1.05241,0.00101488,0.00101488,0.00101488
59,1125.94,0.55129,0.8921,0.59678,0.9843,0.84244,0.57028,0.57287,0.47649,0.81673,0.54519,0.51271,0.41919,0.79201,2.24544,1.38046,1.08211,0.00101075,0.00101075,0.00101075
60,1145.67,0.54813,0.88193,0.57897,0.98223,0.83887,0.59631,0.57088,0.47479,0.78446,0.53604,0.49781,0.40772,0.82752,2.32449,1.32058,1.11828,0.00100663,0.00100663,0.00100663
61,1165.53,0.5447,0.87975,0.57646,0.97438,0.87553,0.58168,0.59444,0.49825,0.84448,0.54955,0.53055,0.43374,0.82879,2.36535,1.23301,1.12932,0.0010025,0.0010025,0.0010025
62,1185.8,0.52389,0.8261,0.56043,0.96407,0.59708,0.57976,0.5916,0.50632,0.56752,0.56207,0.55037,0.44953,0.68211,2.34877,1.18606,0.98607,0.000998375,0.000998375,0.000998375
63,1205.76,0.52425,0.84892,0.55954,0.9646,0.59475,0.5667,0.58677,0.50648,0.56793,0.54195,0.52863,0.4587,0.75849,2.40335,1.26607,1.06641,0.00099425,0.00099425,0.00099425
64,1225.54,0.52809,0.84946,0.54889,0.96313,0.5981,0.59509,0.5892,0.49892,0.57081,0.55257,0.52723,0.43411,0.82852,2.26996,1.32758,1.11415,0.000990125,0.000990125,0.000990125
65,1245.55,0.54417,0.83038,0.56004,0.97267,0.82804,0.60204,0.58533,0.49302,0.8208,0.52679,0.51958,0.43795,0.80817,2.44172,1.3536,1.12837,0.000986,0.000986,0.000986
66,1265.37,0.5294,0.85964,0.56322,0.96357,0.85208,0.58221,0.56971,0.48806,0.77914,0.57988,0.51385,0.42322,0.73932,2.41854,1.51619,1.04279,0.000981875,0.000981875,0.000981875
67,1285.03,0.51715,0.84373,0.54677,0.96631,0.59011,0.56203,0.56068,0.47519,0.56791,0.53933,0.529,0.4283,0.78305,2.37929,1.49839,1.0793,0.00097775,0.00097775,0.00097775
68,1305.05,0.51805,0.85552,0.54475,0.96866,0.60479,0.56747,0.57766,0.48914,0.57085,0.52201,0.5077,0.42094,0.75441,2.14036,1.3946,1.06425,0.000973625,0.000973625,0.000973625
69,1324.88,0.52097,0.87752,0.54696,0.97449,0.83389,0.57401,0.58262,0.48926,0.79625,0.53665,0.51601,0.4228,0.75957,2.10823,1.28734,1.0483,0.0009695,0.0009695,0.0009695
70,1344.79,0.52477,0.84445,0.55717,0.96259,0.63583,0.56167,0.58424,0.50006,0.5752,0.58306,0.54731,0.44748,0.77348,2.27266,1.27739,1.09382,0.000965375,0.000965375,0.000965375
71,1364.47,0.51855,0.83887,0.54173,0.96425,0.62042,0.59476,0.5902,0.50394,0.5834,0.5608,0.53837,0.44708,0.72781,2.40556,1.26307,1.01752,0.00096125,0.00096125,0.00096125
72,1384.23,0.52351,0.84293,0.54639,0.96313,0.87745,0.57915,0.57773,0.49379,0.842,0.54237,0.52456,0.43398,0.76262,2.31022,1.352,1.03764,0.000957125,0.000957125,0.000957125
73,1404.22,0.51453,0.83876,0.54151,0.9696,0.60347,0.60295,0.57723,0.48973,0.56776,0.57199,0.53639,0.42225,0.71654,2.26253,1.42619,1.00521,0.000953,0.000953,0.000953
74,1424.09,0.51323,0.82936,0.53239,0.95436,0.60001,0.57817,0.58777,0.49771,0.56546,0.54652,0.53557,0.4407,0.76602,2.44724,1.34909,1.0779,0.000948875,0.000948875,0.000948875
75,1444.14,0.51022,0.82584,0.52442,0.95734,0.58904,0.60114,0.56926,0.47665,0.57684,0.56205,0.52427,0.42166,0.83314,2.52271,1.37692,1.14719,0.00094475,0.00094475,0.00094475
76,1464.25,0.5273,0.84609,0.55138,0.96588,0.61695,0.56436,0.57601,0.49593,0.59304,0.53596,0.52287,0.42995,0.76431,2.16763,1.32728,1.0955,0.000940625,0.000940625,0.000940625
77,1484.19,0.49825,0.81334,0.52411,0.9523,0.57062,0.60689,0.56736,0.48027,0.56335,0.52343,0.50548,0.41064,0.7999,2.33169,1.40851,1.09267,0.0009365,0.0009365,0.0009365
78,1504.23,0.50117,0.82836,0.50928,0.95107,0.60742,0.5985,0.58771,0.499,0.56419,0.55258,0.52465,0.43022,0.76926,2.24959,1.31513,1.06555,0.000932375,0.000932375,0.000932375
79,1524.21,0.50894,0.83488,0.53304,0.95853,0.60797,0.56716,0.57789,0.49293,0.56911,0.53865,0.51973,0.42772,0.75116,2.22229,1.28953,1.05827,0.00092825,0.00092825,0.00092825
80,1544.18,0.50664,0.79478,0.53438,0.95678,0.57809,0.59778,0.58484,0.5069,0.57519,0.51797,0.51816,0.42949,0.75826,2.33351,1.25188,1.09229,0.000924125,0.000924125,0.000924125
81,1563.92,0.50952,0.82587,0.52663,0.96073,0.60141,0.58747,0.56487,0.48586,0.56325,0.5502,0.52248,0.43005,0.77941,2.20772,1.25383,1.06302,0.00092,0.00092,0.00092
82,1583.58,0.51552,0.81008,0.52592,0.95212,0.62469,0.56733,0.58186,0.48694,0.55377,0.56362,0.52518,0.4203,0.77324,2.23043,1.31485,1.07263,0.000915875,0.000915875,0.000915875
83,1603.46,0.49803,0.80914,0.51597,0.9528,0.59448,0.60494,0.58125,0.49663,0.54894,0.55781,0.51401,0.42881,0.77746,2.36005,1.36352,1.07368,0.00091175,0.00091175,0.00091175
84,1622.67,0.48886,0.78053,0.50526,0.94964,0.59042,0.57718,0.58213,0.50139,0.55407,0.54373,0.53223,0.43339,0.71114,2.21385,1.3033,1.00682,0.000907625,0.000907625,0.000907625
85,1644,0.4909,0.74922,0.50598,0.94461,0.5633,0.60377,0.57692,0.50235,0.58304,0.51844,0.53192,0.44644,0.7455,2.29734,1.31812,1.08727,0.0009035,0.0009035,0.0009035
86,1665.64,0.49024,0.81613,0.50802,0.95006,0.5825,0.6123,0.57134,0.49664,0.54556,0.53925,0.51345,0.43507,0.81139,2.46423,1.30511,1.11347,0.000899375,0.000899375,0.000899375
87,1687.07,0.48693,0.79939,0.50754,0.94226,0.57626,0.61451,0.56582,0.48053,0.54758,0.58237,0.51847,0.4313,0.81533,2.16773,1.43658,1.12591,0.00089525,0.00089525,0.00089525
88,1708.23,0.49152,0.79602,0.50748,0.9527,0.86537,0.54862,0.57015,0.4938,0.80955,0.57661,0.54154,0.43963,0.7316,2.16633,1.23181,1.02172,0.000891125,0.000891125,0.000891125
89,1729.16,0.49699,0.82236,0.5176,0.96158,0.58962,0.61178,0.57873,0.4982,0.54513,0.56361,0.5137,0.43033,0.73295,2.29354,1.22972,1.03199,0.000887,0.000887,0.000887
90,1750.77,0.50463,0.81636,0.53185,0.9577,0.56922,0.61643,0.57801,0.49485,0.52883,0.57474,0.52784,0.4383,0.7587,2.41248,1.45147,1.04827,0.000882875,0.000882875,0.000882875
91,1772.61,0.50646,0.79047,0.51602,0.95656,0.57037,0.61439,0.56726,0.48485,0.53123,0.57455,0.50427,0.42187,0.73788,2.51764,1.35221,1.05959,0.00087875,0.00087875,0.00087875
92,1794.28,0.47838,0.72278,0.48091,0.93828,0.85162,0.59153,0.58657,0.51278,0.81523,0.55456,0.52718,0.44078,0.74126,2.75633,1.29429,1.08993,0.000874625,0.000874625,0.000874625
93,1816.24,0.47592,0.77085,0.48395,0.93637,0.59606,0.61057,0.59285,0.4961,0.56599,0.57856,0.54546,0.4519,0.77604,2.39588,1.20076,1.07774,0.0008705,0.0008705,0.0008705
94,1837.73,0.47464,0.77456,0.48215,0.94059,0.58927,0.61548,0.57972,0.50264,0.56582,0.58904,0.52543,0.43112,0.739,2.49654,1.40161,1.03701,0.000866375,0.000866375,0.000866375
95,1859.34,0.48425,0.80145,0.49595,0.94976,0.60242,0.58425,0.58118,0.49914,0.57319,0.555,0.52044,0.42284,0.74517,2.4489,1.30565,1.06056,0.00086225,0.00086225,0.00086225
96,1880.7,0.49026,0.78269,0.49203,0.94921,0.59296,0.60919,0.59254,0.50226,0.57367,0.5902,0.5438,0.44151,0.76958,2.42486,1.35792,1.12935,0.000858125,0.000858125,0.000858125
97,1902.57,0.4886,0.77777,0.49583,0.94478,0.61309,0.57959,0.58547,0.50166,0.54747,0.59726,0.54106,0.45367,0.71682,2.45796,1.32282,1.04927,0.000854,0.000854,0.000854
98,1924.25,0.47775,0.76583,0.48235,0.94371,0.59991,0.57191,0.57186,0.49396,0.55818,0.52526,0.5225,0.43257,0.76325,2.32628,1.31763,1.06135,0.000849875,0.000849875,0.000849875
99,1945.65,0.47852,0.74367,0.47781,0.94552,0.59901,0.59414,0.59213,0.5086,0.56703,0.55282,0.52616,0.438,0.78371,2.35221,1.3478,1.09408,0.00084575,0.00084575,0.00084575
100,1966.96,0.46856,0.76751,0.47124,0.93178,0.62689,0.56461,0.58829,0.50087,0.59148,0.52838,0.53315,0.4408,0.81458,2.61488,1.25234,1.13347,0.000841625,0.000841625,0.000841625
101,1988.05,0.46059,0.74358,0.46024,0.93377,0.59202,0.57029,0.55805,0.47945,0.52098,0.56785,0.49813,0.41591,0.76295,2.61674,1.34444,1.09319,0.0008375,0.0008375,0.0008375
102,2009.04,0.46696,0.74284,0.46132,0.93879,0.59383,0.60231,0.56847,0.47692,0.5421,0.54878,0.4956,0.41329,0.78867,2.70308,1.38259,1.12539,0.000833375,0.000833375,0.000833375
103,2030.09,0.4686,0.76011,0.47693,0.93698,0.6016,0.5931,0.56406,0.48497,0.56102,0.55077,0.50163,0.41311,0.80128,2.67236,1.30387,1.11129,0.00082925,0.00082925,0.00082925
104,2051.44,0.46145,0.72287,0.48145,0.93625,0.60196,0.5781,0.57194,0.48944,0.57185,0.54087,0.51885,0.41293,0.79437,2.2457,1.454,1.11493,0.000825125,0.000825125,0.000825125
105,2072.93,0.46128,0.72954,0.46496,0.93721,0.59322,0.60509,0.56953,0.49089,0.57154,0.58303,0.53279,0.43407,0.74537,2.30516,1.30592,1.09817,0.000821,0.000821,0.000821
106,2094.04,0.47017,0.75334,0.45953,0.94269,0.57974,0.6011,0.54988,0.47491,0.55547,0.57181,0.51245,0.42347,0.73894,2.76635,1.54965,1.08096,0.000816875,0.000816875,0.000816875
107,2115.46,0.45827,0.73604,0.46546,0.93376,0.5784,0.62391,0.57971,0.49914,0.55036,0.59191,0.52864,0.43677,0.73439,2.5118,1.28845,1.03562,0.00081275,0.00081275,0.00081275
108,2136.78,0.46799,0.75052,0.46245,0.93527,0.61873,0.59192,0.58003,0.49246,0.57231,0.54847,0.50842,0.42957,0.72572,2.52087,1.39542,1.03885,0.000808625,0.000808625,0.000808625
109,2157.78,0.46305,0.74939,0.46482,0.93545,0.61473,0.59329,0.58775,0.51513,0.5791,0.55774,0.55054,0.44552,0.73099,2.47546,1.34917,1.02075,0.0008045,0.0008045,0.0008045
110,2178.89,0.4482,0.71821,0.448,0.92978,0.5958,0.60725,0.58796,0.50139,0.57372,0.58063,0.54864,0.46137,0.76571,2.40776,1.37994,1.08958,0.000800375,0.000800375,0.000800375
111,2199.75,0.46691,0.74393,0.46416,0.93787,0.58368,0.60559,0.57128,0.48872,0.55403,0.57348,0.5212,0.43047,0.78698,2.4567,1.38009,1.1324,0.00079625,0.00079625,0.00079625
112,2220.86,0.46903,0.69829,0.4569,0.93397,0.59921,0.60057,0.58475,0.50565,0.55104,0.56611,0.53692,0.44871,0.811,2.5387,1.40673,1.13903,0.000792125,0.000792125,0.000792125
113,2241.79,0.44851,0.71752,0.44551,0.93038,0.59989,0.56865,0.56349,0.49171,0.56572,0.53167,0.51863,0.43079,0.75142,2.4778,1.36001,1.06627,0.000788,0.000788,0.000788
114,2262.87,0.46354,0.71907,0.45462,0.94133,0.58884,0.58201,0.5541,0.48906,0.54906,0.54012,0.49452,0.41472,0.73824,2.59294,1.32716,1.0809,0.000783875,0.000783875,0.000783875
115,2283.65,0.4537,0.69881,0.45216,0.93755,0.58184,0.616,0.56885,0.49088,0.54677,0.58063,0.5172,0.42447,0.74155,2.43174,1.32686,1.08261,0.00077975,0.00077975,0.00077975
