epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2191.38,0.49936,0.83599,0.5227,0.97324,0.60656,0.57077,0.58511,0.49371,0.55294,0.54867,0.52735,0.42123,0.79387,2.09622,1.31712,1.11825,0.00104375,0.00104375,0.00104375
52,2235.38,0.49704,0.83099,0.51555,0.96778,0.62051,0.60382,0.5931,0.51519,0.57657,0.56263,0.53745,0.45599,0.70977,2.06879,1.18671,1.00466,0.00103962,0.00103962,0.00103962
53,2279.45,0.48598,0.81424,0.49982,0.96376,0.60164,0.58618,0.59611,0.50734,0.57384,0.55657,0.53038,0.44224,0.73865,2.46435,1.28711,1.06013,0.0010355,0.0010355,0.0010355
54,2323.43,0.50528,0.85364,0.53051,0.97302,0.58733,0.61322,0.58642,0.51212,0.56047,0.58036,0.5373,0.45198,0.64307,2.17211,1.23662,0.94581,0.00103138,0.00103138,0.00103138
55,2367.75,0.4871,0.78956,0.50695,0.96092,0.61473,0.56213,0.57335,0.49316,0.58385,0.53276,0.51661,0.42545,0.69056,2.25069,1.22674,1.01691,0.00102725,0.00102725,0.00102725
56,2412.11,0.48719,0.79663,0.5102,0.96434,0.62104,0.55611,0.59947,0.5109,0.58927,0.52094,0.52596,0.44615,0.74417,2.19819,1.35225,1.09371,0.00102312,0.00102312,0.00102312
57,2456.75,0.49092,0.79263,0.50552,0.97618,0.59571,0.57803,0.58514,0.50682,0.5645,0.54436,0.53396,0.45901,0.64353,2.19151,1.34995,0.9787,0.001019,0.001019,0.001019
58,2501.16,0.48898,0.8052,0.51359,0.9611,0.58144,0.57193,0.58894,0.50614,0.55738,0.55598,0.53211,0.44292,0.68827,2.25651,1.41973,1.00066,0.00101488,0.00101488,0.00101488
59,2545.52,0.48814,0.82082,0.5112,0.96806,0.57632,0.58996,0.57949,0.49841,0.54672,0.5758,0.5243,0.4384,0.71901,2.03915,1.30083,1.07109,0.00101075,0.00101075,0.00101075
60,2589.42,0.48014,0.81821,0.49494,0.95963,0.59473,0.60075,0.61489,0.53184,0.57427,0.57344,0.56318,0.46082,0.68033,2.2514,1.2591,1.02907,0.00100663,0.00100663,0.00100663
61,2633.88,0.47756,0.80347,0.49898,0.96069,0.62691,0.56263,0.5885,0.49702,0.58922,0.55014,0.52941,0.44768,0.72959,2.25853,1.23934,1.0747,0.0010025,0.0010025,0.0010025
62,2678.31,0.4568,0.74672,0.46477,0.94968,0.59582,0.60363,0.61846,0.53803,0.56264,0.56368,0.55379,0.45891,0.67714,2.15555,1.1525,0.9915,0.000998375,0.000998375,0.000998375
63,2722.52,0.45939,0.77768,0.47555,0.95623,0.59241,0.60307,0.5789,0.49535,0.5618,0.57116,0.51387,0.42891,0.70359,2.1682,1.28304,1.10238,0.00099425,0.00099425,0.00099425
64,2766.67,0.45888,0.76814,0.46629,0.95614,0.63508,0.56858,0.61108,0.52346,0.59199,0.53092,0.54024,0.45385,0.73107,2.12053,1.25384,1.09205,0.000990125,0.000990125,0.000990125
65,2812.05,0.47364,0.75414,0.47215,0.96147,0.62682,0.57311,0.5721,0.49278,0.60125,0.5466,0.52723,0.43071,0.77505,2.38655,1.34214,1.10709,0.000986,0.000986,0.000986
66,2855.67,0.46017,0.7688,0.46659,0.95087,0.60845,0.578,0.58378,0.51016,0.59881,0.56813,0.54951,0.46554,0.733,2.19616,1.3276,1.03518,0.000981875,0.000981875,0.000981875
67,2899.07,0.45368,0.77234,0.45776,0.95002,0.59551,0.60292,0.59365,0.51723,0.57869,0.58227,0.54732,0.46861,0.72745,2.3034,1.27527,1.07578,0.00097775,0.00097775,0.00097775
68,2942.68,0.45836,0.77366,0.45416,0.95542,0.6012,0.61035,0.59702,0.51047,0.56297,0.5727,0.52817,0.46089,0.75144,2.25074,1.38642,1.09978,0.000973625,0.000973625,0.000973625
69,2986.27,0.44682,0.77398,0.45029,0.95306,0.62381,0.59489,0.59337,0.51648,0.60285,0.57058,0.55781,0.47023,0.75415,2.15564,1.26428,1.10026,0.0009695,0.0009695,0.0009695
70,3029.53,0.46024,0.74163,0.46683,0.94647,0.60717,0.58274,0.56984,0.49318,0.57678,0.55593,0.50604,0.4088,0.76129,2.22138,1.30052,1.09366,0.000965375,0.000965375,0.000965375
71,3073.04,0.46278,0.74813,0.46701,0.95264,0.59583,0.61695,0.61095,0.52869,0.58219,0.59577,0.56836,0.48039,0.73308,2.3867,1.26444,1.07868,0.00096125,0.00096125,0.00096125
72,3116.67,0.45411,0.75131,0.46409,0.94618,0.56304,0.62464,0.59806,0.5236,0.54869,0.60335,0.5509,0.47003,0.68413,2.17006,1.27506,1.02128,0.000957125,0.000957125,0.000957125
73,3160.35,0.45344,0.72917,0.45161,0.95148,0.59455,0.60307,0.5795,0.48859,0.57225,0.57546,0.52528,0.44488,0.79207,2.36565,1.31969,1.13568,0.000953,0.000953,0.000953
74,3203.32,0.45857,0.74657,0.45714,0.94393,0.61041,0.59562,0.60914,0.52689,0.57874,0.55128,0.53346,0.45561,0.7553,2.46967,1.22969,1.08367,0.000948875,0.000948875,0.000948875
75,3246.51,0.43794,0.76724,0.44205,0.9396,0.59588,0.59676,0.56628,0.48646,0.55321,0.54583,0.5139,0.43424,0.82639,2.55173,1.30719,1.15552,0.00094475,0.00094475,0.00094475
