epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,3829.67,0.63862,1.14353,0.71124,1.06892,0.58414,0.60046,0.58637,0.47635,0.56682,0.55798,0.54785,0.42165,0.80179,1.64361,1.34226,1.04718,0.0010685,0.0010685,0.0010685
46,3916.08,0.62078,1.07828,0.71317,1.05545,0.60792,0.58319,0.62446,0.52445,0.6038,0.54289,0.58171,0.46668,0.68355,1.87111,1.10786,0.96499,0.00106437,0.00106437,0.00106437
47,4001.36,0.63,1.08447,0.7104,1.06421,0.64858,0.50757,0.57276,0.49195,0.61354,0.51176,0.55045,0.44776,0.68766,1.99592,1.22315,0.9586,0.00106025,0.00106025,0.00106025
48,4086.36,0.62099,1.11277,0.70807,1.06512,0.63636,0.55873,0.59714,0.49282,0.61113,0.53599,0.56153,0.43731,0.75136,2.03403,1.12475,1.00624,0.00105612,0.00105612,0.00105612
49,4171.05,0.65208,1.11252,0.7468,1.07939,0.61859,0.58733,0.60572,0.51192,0.58756,0.55331,0.56708,0.44787,0.69922,1.86635,1.26757,0.95875,0.001052,0.001052,0.001052
50,4260.13,0.62557,1.10138,0.69927,1.06064,0.61172,0.60094,0.61791,0.51063,0.55684,0.57336,0.5575,0.46184,0.72695,1.79979,1.16689,0.99939,0.00104787,0.00104787,0.00104787
51,4353.27,0.60416,1.08656,0.68331,1.05745,0.61905,0.57661,0.57651,0.48935,0.59022,0.54656,0.53744,0.43823,0.7395,1.95114,1.40554,1.01458,0.00104375,0.00104375,0.00104375
52,4443.81,0.61673,1.06086,0.67329,1.05451,0.652,0.54903,0.59834,0.50131,0.61196,0.51314,0.53923,0.44726,0.72789,2.02507,1.19228,0.99703,0.00103962,0.00103962,0.00103962
53,4534.7,0.62646,1.10038,0.68685,1.06997,0.61072,0.58063,0.60806,0.51944,0.57421,0.54756,0.56247,0.44158,0.65192,2.10042,1.19347,0.94205,0.0010355,0.0010355,0.0010355
54,4625.59,0.61066,1.11981,0.68358,1.05964,0.58183,0.59203,0.59799,0.50763,0.57518,0.57544,0.5614,0.42928,0.74367,1.86148,1.24531,1.03771,0.00103138,0.00103138,0.00103138
55,4715.86,0.59341,1.05194,0.66671,1.03782,0.63074,0.55448,0.60558,0.51454,0.6012,0.52542,0.55315,0.46442,0.70695,2.15632,1.19165,0.9706,0.00102725,0.00102725,0.00102725
